round,rmse,mae
1,67.86904907226562,67.8677749633789
2,67.8742904663086,67.87297058105469
3,67.86509704589844,67.86363983154297
4,67.86546325683594,67.86416625976562
5,67.86083984375,67.85967254638672
6,67.85352325439453,67.8521499633789
7,67.85769653320312,67.85633087158203
8,67.87332153320312,67.871826171875
9,67.87628936767578,67.87467193603516
10,67.87043762207031,67.86882781982422
11,67.86666870117188,67.86498260498047
12,67.86448669433594,67.86282348632812
13,67.84603118896484,67.84398651123047
14,35.40918731689453,35.130271911621094
15,11.819880485534668,10.197510719299316
16,6.579319000244141,3.3067314624786377
17,5.619814395904541,3.0503475666046143
18,5.215713024139404,3.0318610668182373
19,4.925341606140137,2.9007699489593506
20,4.605759620666504,2.743818998336792
21,4.362718105316162,2.6280581951141357
22,4.172378063201904,2.5324034690856934
23,3.970560312271118,2.425715923309326
24,3.7994508743286133,2.3251349925994873
25,3.6739916801452637,2.2573282718658447
26,3.5198636054992676,2.175746202468872
27,3.4666836261749268,2.1302785873413086
28,3.34944486618042,2.0884292125701904
29,3.330859422683716,2.0766642093658447
30,3.1921310424804688,2.0012366771698
31,3.1192357540130615,1.9744793176651
32,3.0664963722229004,1.9419753551483154
33,2.9872803688049316,1.9070788621902466
34,3.0029795169830322,1.9164314270019531
35,2.9311511516571045,1.883500337600708
36,2.939711570739746,1.8890365362167358
37,2.918221950531006,1.8752708435058594
38,2.8842432498931885,1.8618347644805908
39,2.8127286434173584,1.8098173141479492
40,2.744764804840088,1.8004604578018188
41,2.753263473510742,1.8104133605957031
42,2.7170398235321045,1.7803534269332886
43,2.620894193649292,1.701454758644104
44,2.583904504776001,1.6654715538024902
45,2.5424516201019287,1.6348483562469482
46,2.552058458328247,1.614425778388977
47,2.4612016677856445,1.5701504945755005
48,2.401461362838745,1.5395005941390991
49,2.413567543029785,1.544986605644226
50,2.4447929859161377,1.5552964210510254
51,2.406442642211914,1.5484988689422607
52,2.3797693252563477,1.531863808631897
53,2.405574321746826,1.5540302991867065
54,2.398728132247925,1.5703431367874146
55,2.4115853309631348,1.5924584865570068
56,2.3991518020629883,1.58902907371521
57,2.4000203609466553,1.6145119667053223
58,2.4097964763641357,1.6450140476226807
59,2.4001708030700684,1.6693408489227295
60,2.3718252182006836,1.6582661867141724
61,2.353947162628174,1.662603497505188
62,2.3394696712493896,1.6768543720245361
63,2.373579502105713,1.7006210088729858
64,2.3772315979003906,1.715611457824707
65,2.368011713027954,1.7192381620407104
66,2.342663049697876,1.7120912075042725
67,2.3540070056915283,1.7105953693389893
68,2.3419008255004883,1.7161996364593506
69,2.30289626121521,1.6930625438690186
70,2.3058979511260986,1.695784330368042
71,2.303089141845703,1.6918597221374512
72,2.3305864334106445,1.7092992067337036
73,2.286060094833374,1.7148305177688599
74,2.247711420059204,1.7008061408996582
75,2.209186315536499,1.6876554489135742
76,2.1749231815338135,1.6705654859542847
77,2.175886869430542,1.6859478950500488
78,2.181682825088501,1.7001391649246216
79,2.1726484298706055,1.7013882398605347
80,2.1947829723358154,1.7264289855957031
81,2.2085673809051514,1.7477097511291504
82,2.1964941024780273,1.7461042404174805
83,2.204785108566284,1.7611926794052124
84,2.2131781578063965,1.7727878093719482
85,2.176464080810547,1.7781063318252563
86,2.1362879276275635,1.7761352062225342
87,2.1709213256835938,1.8155101537704468
88,2.1724228858947754,1.8221110105514526
89,2.1622231006622314,1.8184466361999512
90,2.1426377296447754,1.8122355937957764
91,2.168623924255371,1.835694432258606
92,2.1370015144348145,1.8384153842926025
93,2.1125030517578125,1.8236627578735352
