round,rmse,mae
1,67.86904907226562,67.8677749633789
2,67.8742904663086,67.87297058105469
3,67.86509704589844,67.86363983154297
4,67.86546325683594,67.86416625976562
5,67.86083984375,67.85967254638672
6,67.85352325439453,67.8521499633789
7,67.85769653320312,67.85633087158203
8,67.87332153320312,67.871826171875
9,67.87628936767578,67.87467193603516
10,67.87043762207031,67.86882781982422
11,67.86666870117188,67.86498260498047
12,67.86448669433594,67.86282348632812
13,67.84603118896484,67.84398651123047
14,35.40918731689453,35.130271911621094
15,11.8198823928833,10.19751262664795
16,6.579319953918457,3.3067331314086914
17,5.619814395904541,3.050346612930298
18,5.215713024139404,3.031860589981079
19,4.925342559814453,2.900768756866455
20,4.605760097503662,2.7438182830810547
21,4.362718105316162,2.6280572414398193
22,4.172378063201904,2.532402753829956
23,3.9705610275268555,2.4257144927978516
24,3.7994513511657715,2.325134515762329
25,3.6739914417266846,2.257326364517212
26,3.519864559173584,2.175745725631714
27,3.466684341430664,2.130277395248413
28,3.3494458198547363,2.0884287357330322
29,3.3308603763580322,2.0766637325286865
30,3.192131757736206,2.0012362003326416
31,3.119236469268799,1.9744787216186523
32,3.066497564315796,1.9419752359390259
33,2.987281084060669,1.9070783853530884
34,3.002980947494507,1.9164308309555054
35,2.931152105331421,1.8834997415542603
36,2.9397122859954834,1.8890365362167358
37,2.918222427368164,1.8752707242965698
38,2.8842437267303467,1.8618342876434326
39,2.8127291202545166,1.809816837310791
40,2.744765520095825,1.8004602193832397
41,2.7532641887664795,1.8104130029678345
42,2.717041015625,1.7803535461425781
43,2.6208956241607666,1.7014551162719727
44,2.5839052200317383,1.6654711961746216
45,2.542452812194824,1.6348485946655273
46,2.5520598888397217,1.614425778388977
47,2.461203098297119,1.5701504945755005
48,2.4014627933502197,1.539500117301941
49,2.4135684967041016,1.544986367225647
50,2.4447944164276123,1.5552961826324463
51,2.4064443111419678,1.548498511314392
52,2.379770278930664,1.531863808631897
53,2.405575752258301,1.554030179977417
54,2.3987293243408203,1.5703431367874146
55,2.4115869998931885,1.5924588441848755
56,2.399153232574463,1.5890295505523682
57,2.4000210762023926,1.6145124435424805
58,2.4097983837127686,1.6450142860412598
59,2.400172233581543,1.6693414449691772
60,2.371826171875,1.658266305923462
61,2.353949546813965,1.662603497505188
62,2.3394713401794434,1.6768548488616943
63,2.3735811710357666,1.7006207704544067
64,2.3772330284118652,1.7156120538711548
65,2.368013381958008,1.7192381620407104
66,2.3426642417907715,1.7120916843414307
67,2.354008674621582,1.710595726966858
68,2.3419039249420166,1.7162010669708252
69,2.3028993606567383,1.6930630207061768
70,2.305901288986206,1.6957851648330688
71,2.3030922412872314,1.691860318183899
72,2.330589532852173,1.7093000411987305
73,2.286062002182007,1.714831829071045
74,2.247715711593628,1.7008088827133179
75,2.2091896533966064,1.6876567602157593
76,2.1749260425567627,1.6705670356750488
77,2.1758909225463867,1.685949444770813
78,2.181685447692871,1.7001407146453857
79,2.1726512908935547,1.7013903856277466
80,2.194786310195923,1.7264313697814941
81,2.2085704803466797,1.7477110624313354
82,2.1964972019195557,1.7461059093475342
83,2.2047884464263916,1.7611944675445557
84,2.213181495666504,1.772789478302002
85,2.176467180252075,1.7781076431274414
86,2.136291265487671,1.7761375904083252
87,2.170924186706543,1.8155113458633423
88,2.1724252700805664,1.8221125602722168
89,2.1622259616851807,1.8184478282928467
90,2.142641067504883,1.81223726272583
91,2.1686267852783203,1.8356961011886597
92,2.1370041370391846,1.838416337966919
93,2.1125056743621826,1.823663353919983
94,2.146136999130249,1.8474838733673096
