round,rmse,mae
1,67.94523620605469,67.9438705444336
2,67.95043182373047,67.94901275634766
3,67.94116973876953,67.93963623046875
4,67.94149780273438,67.94013977050781
5,67.9368667602539,67.93561553955078
6,67.92959594726562,67.92814636230469
7,67.93376159667969,67.93232727050781
8,67.94940185546875,67.94783020019531
9,67.95226287841797,67.95061492919922
10,67.94645690917969,67.94479370117188
11,67.9427261352539,67.94097900390625
12,67.9405288696289,67.93882751464844
13,67.9220199584961,67.91996002197266
14,63.67414474487305,63.62770080566406
15,63.55657196044922,63.508445739746094
16,61.843379974365234,61.79842758178711
17,60.41994094848633,60.3730583190918
18,60.01768112182617,59.958580017089844
19,59.9620361328125,59.906192779541016
20,59.93503952026367,59.87641143798828
